variant,config_id,status,runtime_seconds,memory_mb,alpha,k_initial,k_final,chunk_size,chunk_overlap,ndcg_at_10,ndcg_at_5,recall_at_10,recall_at_20,mrr_at_10,latency_p50,latency_p95,memory_peak,contradiction_rate,consistency_index,beta,k_rerank,query_rewrite,hyde_num_docs,decompose_max_subqueries,retrieval_stages
V2_iter1,V2_iter1_0000,success,0.04168438911437988,163.26953125,0.1,20.0,10.0,256.0,32.0,1.0,0.6666666666666666,0.5777777777777778,0.9666666666666667,0.4953703703703704,0.2795124053955078,0.48996806144714355,180.2131953125,0.0,0.0,,,,,,
V2_iter1,V2_iter1_0001,success,0.03447079658508301,163.51953125,0.1,20.0,10.0,256.0,64.0,0.8333333333333334,0.6666666666666666,0.5111111111111112,0.7888888888888889,0.4529761904761905,0.2860832214355469,0.5780422687530518,180.8526015625,0.0,0.0,,,,,,
V2_iter1,V2_iter1_0002,success,0.03927874565124512,163.51953125,0.1,20.0,10.0,256.0,128.0,0.8333333333333334,0.6666666666666666,0.48888888888888893,0.9111111111111111,0.44603174603174606,0.4201531410217285,0.852816104888916,180.8526015625,0.0,0.0,,,,,,
V2_iter1,V2_iter1_0003,success,0.038747310638427734,163.51953125,0.1,20.0,10.0,320.0,32.0,0.8333333333333334,1.0,0.5777777777777778,0.9111111111111111,0.5694444444444445,0.323486328125,0.6224584579467773,180.8526015625,0.0,0.0,,,,,,
V2_iter1,V2_iter1_0004,success,0.03466486930847168,163.51953125,0.1,20.0,10.0,320.0,64.0,0.8333333333333334,0.5,0.4666666666666666,0.9333333333333332,0.42751322751322757,0.3020048141479492,0.6317460536956787,180.8526015625,0.0,0.0,,,,,,
V2_iter1,V2_iter1_0005,success,0.03522801399230957,163.51953125,0.1,20.0,10.0,320.0,128.0,0.8333333333333334,0.5,0.36666666666666664,0.9111111111111111,0.4351851851851852,0.29758214950561523,0.6384432315826416,180.8526015625,0.0,0.0,,,,,,
V2_iter1,V2_iter1_0006,success,0.0350041389465332,163.51953125,0.1,20.0,10.0,512.0,32.0,0.8333333333333334,0.5,0.3722222222222223,0.9333333333333332,0.3263888888888889,0.29808759689331055,0.6314301490783691,180.8526015625,0.0,0.0,,,,,,
V2_iter1,V2_iter1_0007,success,0.03522634506225586,163.51953125,0.1,20.0,10.0,512.0,64.0,1.0,0.5,0.5388888888888889,0.8444444444444446,0.4682539682539683,0.3303098678588867,0.6162667274475098,180.8526015625,0.0,0.0,,,,,,
V2_iter1,V2_iter1_0008,success,0.03521251678466797,163.51953125,0.1,20.0,10.0,512.0,128.0,1.0,0.8333333333333334,0.6055555555555555,1.0,0.41944444444444445,0.3224754333496094,0.6495630741119385,180.8526015625,0.0,0.0,,,,,,
V2_iter1,V2_iter1_0009,success,0.03590059280395508,163.51953125,0.1,20.0,15.0,256.0,32.0,1.0,0.8333333333333334,0.48333333333333334,0.9666666666666667,0.46944444444444455,0.31337738037109375,0.8635568618774414,180.8526015625,0.0,0.0,,,,,,
V2_iter1,V2_iter1_0010,success,0.03592538833618164,163.51953125,0.1,20.0,15.0,256.0,64.0,1.0,0.8333333333333334,0.5666666666666667,0.9111111111111111,0.7685185185185185,0.3252553939819336,0.7021927833557129,180.8526015625,0.0,0.0,,,,,,
V2_iter1,V2_iter1_0011,success,0.0354156494140625,163.51953125,0.1,20.0,15.0,256.0,128.0,0.8333333333333334,0.6666666666666666,0.26666666666666666,0.7611111111111111,0.4055555555555556,0.29139041900634766,0.6237220764160156,180.8526015625,0.0,0.0,,,,,,
V3_iter2,V3_iter2_0000,success,0.036382436752319336,164.625,,,,,,1.0,0.8333333333333334,0.5722222222222222,0.9666666666666667,0.2847222222222222,0.3338813781738281,0.7260560989379883,184.38000000000002,0.0,0.0,0.0,10.0,none,1.0,2.0,single
V3_iter2,V3_iter2_0001,success,0.0351104736328125,164.625,,,,,,0.6666666666666666,0.6666666666666666,0.25555555555555554,0.7611111111111111,0.4305555555555556,0.42400360107421875,0.9801149368286133,184.38000000000002,0.0,0.0,0.0,10.0,none,1.0,2.0,cascade
V3_iter2,V3_iter2_0002,success,0.0359654426574707,164.625,,,,,,0.6666666666666666,0.6666666666666666,0.47777777777777786,0.8444444444444444,0.4988095238095238,0.3406047821044922,1.1578559875488281,184.38000000000002,0.0,0.0,0.0,10.0,none,1.0,2.0,parallel
V3_iter2,V3_iter2_0003,success,0.03723001480102539,164.625,,,,,,0.8333333333333334,0.6666666666666666,0.39444444444444443,0.8611111111111112,0.36388888888888893,0.4108428955078125,0.786280632019043,184.38000000000002,0.0,0.0,0.0,10.0,none,1.0,3.0,single
V3_iter2,V3_iter2_0004,success,0.035239219665527344,164.625,,,,,,0.6666666666666666,0.3333333333333333,0.33888888888888885,0.8444444444444444,0.13769841269841268,0.35419464111328125,0.7121086120605469,184.38000000000002,0.0,0.0,0.0,10.0,none,1.0,3.0,cascade
V3_iter2,V3_iter2_0005,success,0.035436391830444336,164.625,,,,,,0.8333333333333334,0.5,0.39444444444444443,0.7055555555555556,0.34490740740740744,0.341033935546875,0.7158279418945312,184.38000000000002,0.0,0.0,0.0,10.0,none,1.0,3.0,parallel
V3_iter2,V3_iter2_0006,success,0.03592872619628906,164.625,,,,,,0.8333333333333334,0.8333333333333334,0.42777777777777776,0.8777777777777778,0.26944444444444443,0.35462379455566406,0.7392168045043945,184.38000000000002,0.0,0.0,0.0,10.0,none,1.0,4.0,single
V3_iter2,V3_iter2_0007,success,0.03466653823852539,164.625,,,,,,0.5,0.5,0.5888888888888889,0.8111111111111112,0.4259259259259259,0.33860206604003906,0.7150411605834961,184.38000000000002,0.0,0.0,0.0,10.0,none,1.0,4.0,cascade
V3_iter2,V3_iter2_0008,success,0.035492658615112305,164.625,,,,,,0.6666666666666666,0.5,0.3333333333333333,0.85,0.15138888888888888,0.34046173095703125,1.2818098068237305,184.38000000000002,0.0,0.0,0.0,10.0,none,1.0,4.0,parallel
V3_iter2,V3_iter2_0009,success,0.03471779823303223,164.625,,,,,,0.8333333333333334,0.5,0.42777777777777787,0.8555555555555555,0.1601851851851852,0.3298759460449219,0.9636640548706055,184.38000000000002,0.0,0.0,0.0,10.0,none,2.0,2.0,single
V3_iter2,V3_iter2_0010,success,0.034902095794677734,164.625,,,,,,0.6666666666666666,0.6666666666666666,0.43333333333333335,0.7777777777777777,0.3277777777777778,0.3353118896484375,0.9622335433959961,184.38000000000002,0.0,0.0,0.0,10.0,none,2.0,2.0,cascade
V3_iter2,V3_iter2_0011,success,0.034555673599243164,164.625,,,,,,0.8333333333333334,0.3333333333333333,0.31111111111111106,0.9444444444444445,0.2986111111111111,0.38237571716308594,0.806736946105957,184.38000000000002,0.0,0.0,0.0,10.0,none,2.0,2.0,parallel
